C102
VEHICLE
NUMBER     CAPACITY
   25       200.0
CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
    0      40.0      50.0        0.0          0       1236          0.0
    1      45.0      68.0       10.0        912        967         90.0
    2      45.0      70.0       30.0        825        870         90.0
    3      42.0      66.0       10.0         65        146         90.0
    4      42.0      68.0       10.0        727        782         90.0
    5      42.0      70.0       10.0         15         67         90.0
    6      40.0      69.0       20.0        621        702         90.0
    7      40.0      66.0       20.0        170        225         90.0
    8      38.0      68.0       20.0        255        324         90.0
    9      38.0      70.0       10.0        534        605         90.0
   10      35.0      66.0       10.0        357        410         90.0
   11      35.0      69.0       10.0        448        505         90.0
   12      25.0      85.0       20.0         30         92         90.0
   13      22.0      75.0       30.0        264        321         90.0
   14      22.0      85.0       10.0        526        577         90.0
   15      20.0      80.0       40.0        627        684         90.0
   16      20.0      85.0       40.0        384        429         90.0
   17      18.0      75.0       20.0         99        148         90.0
   18      15.0      75.0       20.0        179        254         90.0
   19      15.0      80.0       10.0        278        345         90.0
   20      30.0      50.0       10.0         10         73         90.0
   21      30.0      52.0       20.0        914        965         90.0
   22      28.0      52.0       20.0        812        883         90.0
   23      28.0      55.0       10.0        732        777         90.0
   24      25.0      50.0       10.0         65        144         90.0
   25      25.0      52.0       40.0        169        224         90.0
   26      25.0      55.0       10.0        622        701         90.0
   27      23.0      52.0       10.0        261        316         90.0
   28      23.0      55.0       20.0        546        593         90.0
   29      20.0      50.0       10.0        358        405         90.0
   30      20.0      55.0       10.0        449        504         90.0
   31      10.0      35.0       20.0         31        100         90.0
   32      10.0      40.0       30.0        243        300         90.0
   33       8.0      40.0       40.0        146        193         90.0
   34       8.0      45.0       20.0        420        457         90.0
   35       5.0      35.0       10.0         87        158         90.0
   36       5.0      45.0       10.0        714        783         90.0
   37       2.0      40.0       20.0        812        883         90.0
   38       0.0      40.0       20.0        732        777         90.0
   39       0.0      45.0       20.0         65        144         90.0
   40      35.0      30.0       10.0        169        224         90.0
   41      33.0      32.0       10.0        622        701         90.0
   42      32.0      35.0       10.0        261        316         90.0
   43      30.0      30.0       10.0        546        593         90.0
   44      30.0      35.0       10.0        358        405         90.0
   45      28.0      30.0       10.0        449        504         90.0
   46      28.0      35.0       20.0         31        100         90.0
   47      26.0      32.0       10.0        243        300         90.0
   48      25.0      30.0       40.0        146        193         90.0
   49      25.0      35.0       10.0        420        457         90.0
   50      44.0       5.0       10.0         87        158         90.0
   51      42.0      10.0       20.0        714        783         90.0
   52      42.0      15.0       10.0        812        883         90.0
   53      40.0       5.0       30.0        732        777         90.0
   54      40.0      15.0       10.0         65        144         90.0
   55      38.0       5.0       10.0        169        224         90.0
   56      38.0      15.0       10.0        622        701         90.0
   57      35.0       5.0       20.0        261        316         90.0
   58      50.0      30.0       10.0        546        593         90.0
   59      50.0      35.0       20.0        358        405         90.0
   60      50.0      40.0       10.0        449        504         90.0
   61      48.0      30.0       10.0         31        100         90.0
   62      48.0      35.0       10.0        243        300         90.0
   63      47.0      40.0       10.0        146        193         90.0
   64      47.0      45.0       10.0        420        457         90.0
   65      45.0      30.0       10.0         87        158         90.0
   66      45.0      35.0       10.0        714        783         90.0
   67      95.0      30.0       30.0        812        883         90.0
   68      95.0      35.0       20.0        732        777         90.0
   69      53.0      30.0       10.0         65        144         90.0
   70      92.0      30.0       10.0        169        224         90.0
   71      53.0      35.0       50.0        622        701         90.0
   72      45.0      65.0       10.0        261        316         90.0
   73      90.0      35.0       10.0        546        593         90.0
   74      88.0      30.0       20.0        358        405         90.0
   75      88.0      35.0       20.0        449        504         90.0
   76      87.0      40.0       10.0         31        100         90.0
   77      85.0      25.0       10.0        243        300         90.0
   78      85.0      35.0       30.0        146        193         90.0
   79      75.0      55.0       20.0        420        457         90.0
   80      72.0      55.0       10.0         87        158         90.0
   81      70.0      58.0       20.0        714        783         90.0
   82      68.0      60.0       30.0        812        883         90.0
   83      66.0      55.0       10.0        732        777         90.0
   84      65.0      55.0       20.0         65        144         90.0
   85      65.0      60.0       30.0        169        224         90.0
   86      63.0      58.0       10.0        622        701         90.0
   87      60.0      55.0       10.0        261        316         90.0
   88      60.0      60.0       10.0        546        593         90.0
   89      67.0      85.0       20.0        358        405         90.0
   90      65.0      85.0       40.0        449        504         90.0
   91      65.0      82.0       40.0         31        100         90.0
   92      62.0      80.0       10.0        243        300         90.0
   93      60.0      80.0       20.0        146        193         90.0
   94      60.0      85.0       40.0        420        457         90.0
   95      58.0      75.0       20.0         87        158         90.0
   96      55.0      80.0       10.0        714        783         90.0
   97      55.0      85.0       20.0        812        883         90.0
   98      50.0      75.0       30.0        732        777         90.0
   99      50.0      80.0       10.0         65        144         90.0
  100      50.0      85.0       10.0        169        224         90.0

